company_name,industry/domain,job_role,job_title_raw,job_type,required_skills,preferred_skills,cgpa_requirement,experience_required,job_description,location,salary_range,source,date_posted,source_url
Google,SaaS/Cloud,DevOps Engineer,DevOps Engineer,Full Time,"[""c"", ""go""]","[""sql"", ""vue""]",8.0+,0-1,%PDF-1.4 %���� 416 0 obj <> endobj xref 416 65 0000000016 00000 n 0000002167 00000 n 0000002364 00000 n 0000002487 00000 n 0000005298 00000 n 0000005349 00000 n 0000005463 00000 n 0000016795 00000 n 0000027858 00000 n 0000037795 00000 n 0000046639 00000 n 0000056165 00000 n 0000065823 00000 n 0000065960 00000 n 0000066092 00000 n 0000066231 00000 n 0000066610 00000 n 0000066988 00000 n 0000067400 00000 n 0000067897 00000 n 0000068080 00000 n 0000068192 00000 n 0000068853 00000 n 0000068880 00000,Bengaluru,7-19 LPA,careers_page,2026-04-09,https://careers.google.com/jobs/dist/legal/EEOC_KnowYourRights_10_20.pdf
Google,SaaS/Cloud,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",8.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,7-19 LPA,internshala,2026-04-09,https://internshala.com/jobs/google-jobs/page-1
Microsoft,SaaS/Cloud,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",8.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,7-19 LPA,internshala,2026-04-09,https://internshala.com/jobs/microsoft-jobs/page-1
Amazon,E-commerce/Cloud,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",8.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,7-19 LPA,internshala,2026-04-09,https://internshala.com/jobs/amazon-jobs/page-1
Adobe,SaaS,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",8.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/adobe-jobs/page-1
Goldman Sachs,Fintech/Investment Banking,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",8.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,7-19 LPA,internshala,2026-04-09,https://internshala.com/jobs/goldman-sachs-jobs/page-1
Morgan Stanley,Fintech/Investment Banking,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",8.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,7-19 LPA,internshala,2026-04-09,https://internshala.com/jobs/morgan-stanley-jobs/page-1
JPMorgan Chase,Fintech/Banking,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",8.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,7-19 LPA,internshala,2026-04-09,https://internshala.com/jobs/jpmorgan-chase-jobs/page-1
American Express,Fintech/Payments,Digital Marketing,Digital Marketing Executive,Intern,"[""c"", ""git""]","[""go""]",7.0+,1+,"Digital Marketing Executive Morecare Mobility Jaipur ₹ 2,00,000 - 2,50,000 ₹ 2,00,000 - 2,50,000 /year 1 year(s) As a digital marketing executive at Morecare Mobility, you will play a crucial role in developing and implementing our digital marketing strategies to drive growth and engagement. Your expertise in areas such as Digital Advertising, Content Marketing, SEO, SEM, Facebook Ads, Google Keyword Planner, Social Media Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, and c",Jaipur,7-19 LPA,internshala,2026-04-09,https://internshala.com/jobs/american-express-jobs/page-1
Oracle,Enterprise Software,SDE,Azure Data Engineer,Intern,"[""azure"", ""c"", ""go""]","[""power bi"", ""sql""]",7.0+,0-1,"Azure Data Engineer Aaptatt Actively hiring Work from home ₹ 4,20,000 - 6,00,000 ₹ 4,20,000 - 6,00,000 /year No experience required Key Responsibilities: 1. Work as a developer to implement enhancements and changes based on client requirements on existing codebases. 2. Design, develop, and maintain data pipelines using Azure Data Factory and Microsoft Fabric. 3. Develop and optimize SQL queries and data transformations. 4. Build and support Power BI reports and dashboards. 5. Handle user stories",Remote,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/oracle-jobs/page-1
Salesforce,SaaS/CRM,Sales,Corporate Sales Manager,Intern,"[""c""]","[""go""]",7.0+,1+,"Corporate Sales Manager Linkworld Infocom Actively hiring Mumbai ₹ 3,60,000 - 6,00,000 ₹ 3,60,000 - 6,00,000 /year 1 year(s) Key responsibilities: 1.generating leads 2.converting leads into sales 3.cold calling and command on english language Salesforce Sales Management 1 week ago",Mumbai,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/salesforce-jobs/page-1
SAP,Enterprise Software,Sales,SAP SD DSD Consultant,Intern,"[""c""]","[""go""]",7.0+,2+,SAP SD DSD Consultant PwC Acceleration Center India Bangalore Competitive salary Competitive salary 2 year(s) Greetings from Pwc!Role- SAP SDD DSD(Must have Experience in DSD)Experience- 2+yearsIf interested please share cv to bommakanti.sai.vaidehi@pwc.comRequired Skills: SAP DSD6+ years of hands-on experience on the SD module in SupportSupport experience should be in S/4 HANAExtensive Knowledge on LMD/DSD presales and vansales scenarios.Well versed with LMD/DSD settlement processAdherence to S,Bengaluru,6-16 LPA,internshala,2026-04-09,https://internshala.com/jobs/sap-jobs/page-1
